MSTI_VAR,COU,TIME_FORMAT,UNIT,POWERCODE,REFERENCEPERIOD,obsTime,obsValue,OBS_STATUS
G_PPP,DNK,P1Y,USD,6,NA,2012,7468.75736598043,NA
G_PPP,DNK,P1Y,USD,6,NA,2013,7793.59657076345,NA
G_PPP,DNK,P1Y,USD,6,NA,2014,7877.68662063106,NA
G_PPP,DNK,P1Y,USD,6,NA,2015,8517.95393634855,NA
G_PPP,DNK,P1Y,USD,6,NA,2016,9207.02492422912,NA
G_PPP,DNK,P1Y,USD,6,NA,2017,9682.64471680736,p
G_PPP,DNK,P1Y,USD,6,NA,2018,10054.209820263,p
G_PPP,FIN,P1Y,USD,6,NA,2004,5393.13314283215,NA
G_PPP,FIN,P1Y,USD,6,NA,2005,5588.6917820135895,NA
G_PPP,FIN,P1Y,USD,6,NA,2006,6038.8979729286,NA
G_PPP,FIN,P1Y,USD,6,NA,2007,6671.02834396462,NA
G_PPP,FIN,P1Y,USD,6,NA,2008,7533.06136131677,NA
G_PPP,FIN,P1Y,USD,6,NA,2009,7577.23276777493,NA
G_PPP,FIN,P1Y,USD,6,NA,2010,7746.97109218466,NA
G_PPP,FIN,P1Y,USD,6,NA,2011,7976.78543396755,NA
G_PPP,FIN,P1Y,USD,6,NA,2012,7520.00219087496,NA
G_PPP,FIN,P1Y,USD,6,NA,2013,7382.83179961642,NA
G_PPP,FIN,P1Y,USD,6,NA,2014,7178.16422746023,NA
G_PPP,FIN,P1Y,USD,6,NA,2015,6689.6668864677,NA
G_PPP,FIN,P1Y,USD,6,NA,2016,6726.68530374281,NA
G_PPP,FIN,P1Y,USD,6,NA,2017,7149.07761994175,NA
G_PPP,FIN,P1Y,USD,6,NA,2018,7504.12605413624,NA
G_PPP,FRA,P1Y,USD,6,NA,2004,38134.1281765578,b
G_PPP,FRA,P1Y,USD,6,NA,2005,39530.0633129158,NA
G_PPP,FRA,P1Y,USD,6,NA,2006,42315.0065165363,NA
G_PPP,FRA,P1Y,USD,6,NA,2007,44175.8682459546,NA
G_PPP,FRA,P1Y,USD,6,NA,2008,46567.0854770021,NA
G_PPP,FRA,P1Y,USD,6,NA,2009,49684.6256606014,NA
G_PPP,FRA,P1Y,USD,6,NA,2010,50896.6557992771,b
G_PPP,FRA,P1Y,USD,6,NA,2011,53617.2914699277,NA
G_PPP,FRA,P1Y,USD,6,NA,2012,55097.7262196232,NA
G_PPP,FRA,P1Y,USD,6,NA,2013,58353.3263369787,NA
G_PPP,FRA,P1Y,USD,6,NA,2014,60585.6499066721,b
G_PPP,FRA,P1Y,USD,6,NA,2015,61645.6567122176,NA
G_PPP,FRA,P1Y,USD,6,NA,2016,63644.9927534184,NA
G_PPP,FRA,P1Y,USD,6,NA,2017,66044.9339127822,p
G_PPP,FRA,P1Y,USD,6,NA,2018,68440.9047203441,e
G_PPP,DEU,P1Y,USD,6,NA,2004,62905.965151453,NA
G_PPP,DEU,P1Y,USD,6,NA,2005,64028.3313995316,NA
G_PPP,DEU,P1Y,USD,6,NA,2006,69487.2103138957,NA
G_PPP,DEU,P1Y,USD,6,NA,2007,73374.922302218,NA
G_PPP,DEU,P1Y,USD,6,NA,2008,81172.6372469468,NA
G_PPP,DEU,P1Y,USD,6,NA,2009,82779.1304733071,NA
G_PPP,DEU,P1Y,USD,6,NA,2010,87027.9673824909,NA
G_PPP,DEU,P1Y,USD,6,NA,2011,95809.965740943,NA
G_PPP,DEU,P1Y,USD,6,NA,2012,100490.08504661,NA
G_PPP,DEU,P1Y,USD,6,NA,2013,102905.454647198,NA
