COUNTRY,VARIABLE,UNIT,MEASURE,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
CAB,12_T053,PERCENTAGE,SE,P1Y,2018,0.72493094,NA
CAB,12_T054,PERCENTAGE,SE,P1Y,2018,1.9861491,NA
CAB,12_T055,PERCENTAGE,SE,P1Y,2018,1.2200459,NA
CAB,12_T056,PERCENTAGE,SE,P1Y,2018,2.7222674,NA
CAB,12_T058,PERCENTAGE,SE,P1Y,2018,1.9850138,NA
CAB,13_T013,PERCENTAGE,SE,P1Y,2013,0.77472115,NA
CAB,13_T013,PERCENTAGE,SE,P1Y,2018,1.009107,NA
CAB,13_T037,PERCENTAGE,SE,P1Y,2018,4.4229999,NA
CAB,13_T038,PERCENTAGE,SE,P1Y,2018,2.8697906,NA
CAB,13_T039,PERCENTAGE,SE,P1Y,2018,2.0400417,NA
CAB,13_T040,PERCENTAGE,SE,P1Y,2018,2.1444707,NA
CAB,14_T042,PERCENTAGE,SE,P1Y,2018,2.0552936,NA
CAB,14_T043,PERCENTAGE,SE,P1Y,2013,0.55198276,NA
CAB,14_T043,PERCENTAGE,SE,P1Y,2018,1.7956023,NA
CAB,14_T044,PERCENTAGE,SE,P1Y,2018,3.7993231,NA
CAB,14_T045,PERCENTAGE,SE,P1Y,2018,1.4248819,NA
CAB,14_T046,PERCENTAGE,SE,P1Y,2018,1.5237849,NA
CAB,15_T014,PERCENTAGE,SE,P1Y,2013,0.70333469,NA
CAB,15_T014,PERCENTAGE,SE,P1Y,2018,1.2594353,NA
CAB,15_T048,PERCENTAGE,SE,P1Y,2018,3.3899674,NA
CAB,15_T049,PERCENTAGE,SE,P1Y,2018,2.7630854,NA
CAB,15_T050,PERCENTAGE,SE,P1Y,2018,1.2926556,NA
CAB,15_T051,PERCENTAGE,SE,P1Y,2018,1.7978119,NA
CAB,16_T027,PERCENTAGE,SE,P1Y,2013,1.4063743,NA
CAB,16_T027,PERCENTAGE,SE,P1Y,2018,2.3903134,NA
CAB,16_T028,PERCENTAGE,SE,P1Y,2013,0.84984672000000006,NA
CAB,16_T028,PERCENTAGE,SE,P1Y,2018,1.2081463,NA
CAB,16_T166,PERCENTAGE,SE,P1Y,2018,2.2125671,NA
CAB,16_T167,PERCENTAGE,SE,P1Y,2018,1.4961917,NA
CAB,17_T007,PERCENTAGE,SE,P1Y,2013,3.7270944,NA
CAB,17_T007,PERCENTAGE,SE,P1Y,2018,6.230319,NA
CAB,17_T008,PERCENTAGE,SE,P1Y,2013,1.7938478,NA
CAB,17_T008,PERCENTAGE,SE,P1Y,2018,0.65776646,NA
CAB,17_T185,PERCENTAGE,SE,P1Y,2018,11.783675,NA
CAB,17_T186,PERCENTAGE,SE,P1Y,2018,4.6535716,NA
CAB,18_T168,PERCENTAGE,SE,P1Y,2013,1.2590346,NA
CAB,18_T168,PERCENTAGE,SE,P1Y,2018,2.5867951,NA
CAB,18_T169,PERCENTAGE,SE,P1Y,2013,1.2478496,NA
CAB,18_T169,PERCENTAGE,SE,P1Y,2018,2.5987287,NA
CAB,18_T170,PERCENTAGE,SE,P1Y,2013,1.3077016,NA
CAB,18_T170,PERCENTAGE,SE,P1Y,2018,2.0884287,NA
CAB,18_T171,PERCENTAGE,SE,P1Y,2018,1.7136732,NA
CAB,18_T172,PERCENTAGE,SE,P1Y,2018,2.0113676,NA
CAB,18_T173,PERCENTAGE,SE,P1Y,2018,1.0438024,NA
CAB,19_T174,PERCENTAGE,SE,P1Y,2013,1.5135742,NA
CAB,19_T174,PERCENTAGE,SE,P1Y,2018,2.1800022,NA
CAB,19_T175,PERCENTAGE,SE,P1Y,2013,1.9229063,NA
CAB,19_T175,PERCENTAGE,SE,P1Y,2018,3.1582148,NA
CAB,19_T177,PERCENTAGE,SE,P1Y,2018,2.1959531,NA
CAB,19_T179,PERCENTAGE,SE,P1Y,2013,1.7077069,NA
CAB,19_T179,PERCENTAGE,SE,P1Y,2018,2.5443573,NA
CAB,19_T187,PERCENTAGE,SE,P1Y,2018,6.3051839,NA
CAB,19_T188,PERCENTAGE,SE,P1Y,2013,1.4877009,NA
CAB,19_T188,PERCENTAGE,SE,P1Y,2018,2.0675621,NA
CAB,20_T016,PERCENTAGE,SE,P1Y,2018,1.7645464,NA
CAB,20_T176,PERCENTAGE,SE,P1Y,2018,1.5984306,NA
CAB,20_T180,PERCENTAGE,SE,P1Y,2013,3.6855984,NA
CAB,20_T180,PERCENTAGE,SE,P1Y,2018,3.7543278,NA
CAB,20_T189,PERCENTAGE,SE,P1Y,2018,0.70802623,NA
CAB,1_T001,YEARS,SE,P1Y,2018,0.42136705,NA
CAB,1_T002,YEARS,SE,P1Y,2018,0.35710219,NA
CAB,2_T005,YEARS,SE,P1Y,2018,2.9136388,NA
CAB,2_T006,YEARS,SE,P1Y,2018,4.9709549,NA
AUS,1_T000,PERCENTAGE,VAL,P1Y,2013,59.200001,NA
AUS,1_T000,PERCENTAGE,VAL,P1Y,2018,62.099998,NA
AUS,1_T029,PERCENTAGE,VAL,P1Y,2013,37.099998,NA
AUS,1_T029,PERCENTAGE,VAL,P1Y,2018,29.9,NA
AUS,3_T022,PERCENTAGE,VAL,P1Y,2018,7.5999999,NA
AUS,3_T023,PERCENTAGE,VAL,P1Y,2018,14.5,NA
AUS,3_T024,PERCENTAGE,VAL,P1Y,2013,78.099998,NA
AUS,3_T024,PERCENTAGE,VAL,P1Y,2018,77.599998,NA
AUS,3_T078,PERCENTAGE,VAL,P1Y,2018,29.200001,NA
AUS,3_T079,PERCENTAGE,VAL,P1Y,2018,69.5,NA
AUS,5_T032,PERCENTAGE,VAL,P1Y,2018,82.5,NA
AUS,5_T033,PERCENTAGE,VAL,P1Y,2018,28.299999,NA
AUS,5_T034,PERCENTAGE,VAL,P1Y,2018,36.700001,NA
AUS,7_T012,PERCENTAGE,VAL,P1Y,2018,99.300003,NA
AUS,7_T105,PERCENTAGE,VAL,P1Y,2018,69.699997,NA
AUS,7_T106,PERCENTAGE,VAL,P1Y,2018,61.200001,NA
AUS,7_T107,PERCENTAGE,VAL,P1Y,2018,91.699997,NA
AUS,9_T025,PERCENTAGE,VAL,P1Y,2018,83.400002,NA
AUS,9_T026,PERCENTAGE,VAL,P1Y,2018,80.800003,NA
AUS,10_T101,PERCENTAGE,VAL,P1Y,2018,58.099998,NA
AUS,10_T102,PERCENTAGE,VAL,P1Y,2018,96,NA
AUS,10_T103,PERCENTAGE,VAL,P1Y,2018,92.599998,NA
AUS,11_T096,PERCENTAGE,VAL,P1Y,2018,97.400002,NA
AUS,12_T053,PERCENTAGE,VAL,P1Y,2018,5.4000001,NA
AUS,12_T054,PERCENTAGE,VAL,P1Y,2018,29,NA
AUS,12_T055,PERCENTAGE,VAL,P1Y,2018,83.599998,NA
AUS,12_T056,PERCENTAGE,VAL,P1Y,2018,45.200001,NA
AUS,12_T058,PERCENTAGE,VAL,P1Y,2018,82.400002,NA
AUS,13_T013,PERCENTAGE,VAL,P1Y,2013,13.6,NA
AUS,13_T013,PERCENTAGE,VAL,P1Y,2018,11.4,NA
AUS,13_T038,PERCENTAGE,VAL,P1Y,2018,78.199997,NA
AUS,13_T039,PERCENTAGE,VAL,P1Y,2018,64.699997,NA
