COU,SEX,IND,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
FRA,FEMALE,FAM18A,P1Y,NBR,0,2015,513.8
FRA,FEMALE,FAM18A,P1Y,NBR,0,2018,505.2
FRA,MALE,FAM18B,P1Y,NBR,0,2006,498.9
FRA,MALE,FAM18B,P1Y,NBR,0,2009,505.1
FRA,MALE,FAM18B,P1Y,NBR,0,2012,499.4
FRA,MALE,FAM18B,P1Y,NBR,0,2015,495.9
FRA,MALE,FAM18B,P1Y,NBR,0,2018,498.5
FRA,FEMALE,FAM18B,P1Y,NBR,0,2006,492.4
FRA,FEMALE,FAM18B,P1Y,NBR,0,2009,488.9
FRA,FEMALE,FAM18B,P1Y,NBR,0,2012,490.9
FRA,FEMALE,FAM18B,P1Y,NBR,0,2015,490
FRA,FEMALE,FAM18B,P1Y,NBR,0,2018,492.2
FRA,MALE,FAM18C,P1Y,NBR,0,2006,496.6
FRA,MALE,FAM18C,P1Y,NBR,0,2009,499.9
FRA,MALE,FAM18C,P1Y,NBR,0,2012,497.7
FRA,MALE,FAM18C,P1Y,NBR,0,2015,495.9
FRA,MALE,FAM18C,P1Y,NBR,0,2018,492.5
FRA,FEMALE,FAM18C,P1Y,NBR,0,2006,493.9
FRA,FEMALE,FAM18C,P1Y,NBR,0,2009,496.6
FRA,FEMALE,FAM18C,P1Y,NBR,0,2012,500.2
FRA,FEMALE,FAM18C,P1Y,NBR,0,2015,494
FRA,FEMALE,FAM18C,P1Y,NBR,0,2018,493.5
DEU,MALE,FAM18A,P1Y,NBR,0,2006,474.6
DEU,MALE,FAM18A,P1Y,NBR,0,2009,477.9
DEU,MALE,FAM18A,P1Y,NBR,0,2012,486
DEU,MALE,FAM18A,P1Y,NBR,0,2015,498.9
DEU,MALE,FAM18A,P1Y,NBR,0,2018,486.3
DEU,FEMALE,FAM18A,P1Y,NBR,0,2006,516.6
DEU,FEMALE,FAM18A,P1Y,NBR,0,2009,517.6
DEU,FEMALE,FAM18A,P1Y,NBR,0,2012,530.1
DEU,FEMALE,FAM18A,P1Y,NBR,0,2015,519.7
DEU,FEMALE,FAM18A,P1Y,NBR,0,2018,512.2
DEU,MALE,FAM18B,P1Y,NBR,0,2006,513.2
DEU,MALE,FAM18B,P1Y,NBR,0,2009,520.4
DEU,MALE,FAM18B,P1Y,NBR,0,2012,520.2
DEU,MALE,FAM18B,P1Y,NBR,0,2015,514.1
DEU,MALE,FAM18B,P1Y,NBR,0,2018,503.3
DEU,FEMALE,FAM18B,P1Y,NBR,0,2006,493.7
DEU,FEMALE,FAM18B,P1Y,NBR,0,2009,504.8
DEU,FEMALE,FAM18B,P1Y,NBR,0,2012,506.6
DEU,FEMALE,FAM18B,P1Y,NBR,0,2015,497.5
DEU,FEMALE,FAM18B,P1Y,NBR,0,2018,496.2
