LOCATION,VAR,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
DEU,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,35.218
DEU,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,35.493
DEU,BB-P100-TOT,P1Y,100HAB,0,2014,36.517
DEU,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,36.099
DEU,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,36.517
DEU,BB-P100-TOT,P1Y,100HAB,0,2015,37.592
DEU,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,37.173
DEU,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,37.592
DEU,BB-P100-TOT,P1Y,100HAB,0,2016,38.698
DEU,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,38.411
DEU,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,38.698
DEU,BB-P100-TOT,P1Y,100HAB,0,2017,40.205
DEU,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,39.502
DEU,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,40.205
DEU,BB-P100-TOT,P1Y,100HAB,0,2018,41.194
DEU,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,40.683
DEU,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,41.194
DEU,BB-P100-TOT,P1Y,100HAB,0,2019,42.212
DEU,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,41.706
DEU,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,42.212
GRC,BB-P100-TOT,P1Y,100HAB,0,2009,17.256
GRC,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,17.256
GRC,BB-P100-TOT,P1Y,100HAB,0,2010,20.255
GRC,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,18.953
GRC,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,20.255
GRC,BB-P100-TOT,P1Y,100HAB,0,2011,22.191
GRC,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,21.144
GRC,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,22.191
GRC,BB-P100-TOT,P1Y,100HAB,0,2012,24.35
GRC,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,23.056
GRC,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,24.35
GRC,BB-P100-TOT,P1Y,100HAB,0,2013,26.568
GRC,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,25.324
GRC,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,26.568
GRC,BB-P100-TOT,P1Y,100HAB,0,2014,28.975
GRC,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,27.602
GRC,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,28.975
GRC,BB-P100-TOT,P1Y,100HAB,0,2015,31.781
GRC,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,30.573
GRC,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,31.781
GRC,BB-P100-TOT,P1Y,100HAB,0,2016,33.563
GRC,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,32.541
GRC,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,33.563
GRC,BB-P100-TOT,P1Y,100HAB,0,2017,35.291
GRC,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,34.214
GRC,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,35.291
GRC,BB-P100-TOT,P1Y,100HAB,0,2018,36.939
GRC,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,36.122
GRC,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,36.939
GRC,BB-P100-TOT,P1Y,100HAB,0,2019,38.653
GRC,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,37.661
GRC,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,38.653
HUN,BB-P100-TOT,P1Y,100HAB,0,2009,18.76
HUN,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,18.76
HUN,BB-P100-TOT,P1Y,100HAB,0,2010,20.578
HUN,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,19.636
HUN,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,20.578
HUN,BB-P100-TOT,P1Y,100HAB,0,2011,21.975
HUN,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,21.354
HUN,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,21.975
HUN,BB-P100-TOT,P1Y,100HAB,0,2012,22.994
HUN,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,22.282
HUN,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,22.994
HUN,BB-P100-TOT,P1Y,100HAB,0,2013,24.271
HUN,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,23.458
HUN,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,24.271
HUN,BB-P100-TOT,P1Y,100HAB,0,2014,26.155
HUN,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,25.044
HUN,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,26.155
HUN,BB-P100-TOT,P1Y,100HAB,0,2015,27.622
HUN,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,26.885
HUN,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,27.622
HUN,BB-P100-TOT,P1Y,100HAB,0,2016,28.679
HUN,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,28.095
HUN,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,28.679
HUN,BB-P100-TOT,P1Y,100HAB,0,2017,30.206
HUN,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,29.299
HUN,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,30.206
HUN,BB-P100-TOT,P1Y,100HAB,0,2018,31.502
HUN,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,30.652
HUN,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,31.502
HUN,BB-P100-TOT,P1Y,100HAB,0,2019,32.644
HUN,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,32.155
HUN,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,32.644
ISL,BB-P100-TOT,P1Y,100HAB,0,2009,33.544
ISL,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,33.544
ISL,BB-P100-TOT,P1Y,100HAB,0,2010,34.343
ISL,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,33.957
ISL,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,34.343
ISL,BB-P100-TOT,P1Y,100HAB,0,2011,34.979
ISL,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,34.297
ISL,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,34.979
ISL,BB-P100-TOT,P1Y,100HAB,0,2012,35.366
ISL,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,34.817
ISL,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,35.366
ISL,BB-P100-TOT,P1Y,100HAB,0,2013,36.278
ISL,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,35.647
ISL,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,36.278
ISL,BB-P100-TOT,P1Y,100HAB,0,2014,36.627
ISL,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,36.012
ISL,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,36.627
ISL,BB-P100-TOT,P1Y,100HAB,0,2015,37.617
ISL,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,37.23
ISL,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,37.617
ISL,BB-P100-TOT,P1Y,100HAB,0,2016,38.17
ISL,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,37.774
ISL,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,38.17
ISL,BB-P100-TOT,P1Y,100HAB,0,2017,38.897
ISL,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,38.799
ISL,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,38.897
ISL,BB-P100-TOT,P1Y,100HAB,0,2018,38.717
ISL,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,39.277
ISL,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,38.717
ISL,BB-P100-TOT,P1Y,100HAB,0,2019,38.614
ISL,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,38.967
ISL,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,38.614
IRL,BB-P100-TOT,P1Y,100HAB,0,2009,21.188
IRL,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,21.188
IRL,BB-P100-TOT,P1Y,100HAB,0,2010,22.369
IRL,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,21.732
IRL,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,22.369
