COUNTRY,VARIABLE,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue,OBS_STATUS
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2009,436900,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2010,452033,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2011,465600,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2012,480690,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2013,484776,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2014,494128,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2015,508498,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2016,518368,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2017,528694,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2018,538603,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2019,535699,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2004,385163,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2005,391215,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2006,395908,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2007,405544,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2008,404585,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2009,393765,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2010,393466,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2011,395067,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2012,404396,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2013,414387,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2014,413970,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2015,427486,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2016,431799,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2017,437363,NA
JPN,T-PASS-RL-TOT,P1Y,PKM,6,2018,441614,NA
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2004,167449,E
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2005,164834,E
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2006,163630,E
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2007,166605,E
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2008,163236,E
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2010,144200,B
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2011,144400,NA
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2012,139600,NA
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2013,145400,NA
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2014,145000,NA
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2015,139500,NA
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2016,140800,NA
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2017,138700,NA
NLD,T-PASS-RD-TOT,P1Y,PKM,6,2018,144700,B
SVN,T-PASS-RD-BUS,P1Y,PKM,6,2004,3218,NA
SVN,T-PASS-RD-BUS,P1Y,PKM,6,2005,3062,NA
SVN,T-PASS-RD-BUS,P1Y,PKM,6,2006,3133,NA
SVN,T-PASS-RD-BUS,P1Y,PKM,6,2007,3235,NA
SVN,T-PASS-RD-BUS,P1Y,PKM,6,2008,3146,NA
SVN,T-PASS-RD-BUS,P1Y,PKM,6,2009,3196,NA
SVN,T-PASS-RD-BUS,P1Y,PKM,6,2010,3183,NA
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2004,4855,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2005,5145,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2006,5455,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2007,5730,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2008,5587,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2009,5647,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2010,5596,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2011,5392,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2012,5454,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2013,5611,E
ISL,T-PASS-RD-TOT,P1Y,PKM,6,2014,5899,E
