COUNTRY,ISC11A,SEX,AGE,PIAAC_CATEGORY,INDICATOR,MEASURE,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
AUT,T,T,Y25T64,AL_YC_I,PIAAC_AL_FNFAET12,SE,P1Y,2012,4.1,NA
AUT,T,T,Y25T64,AL_NYC_I,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.6,NA
AUT,T,T,Y25T64,AL_V_E,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.7,NA
AUT,T,T,Y25T64,AL_NV_E,PIAAC_AL_FNFAET12,SE,P1Y,2012,1,NA
AUT,T,T,Y25T64,AL_V_U,PIAAC_AL_FNFAET12,SE,P1Y,2012,NA,c
AUT,T,T,Y25T64,AL_NV_U,PIAAC_AL_FNFAET12,SE,P1Y,2012,5.6,NA
AUT,T,T,Y25T64,AL_V_I,PIAAC_AL_FNFAET12,SE,P1Y,2012,4,NA
AUT,T,T,Y25T64,AL_NV_I,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.7,NA
AUT,T,T,Y25T64,AL_V,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.6,NA
AUT,T,T,Y25T64,AL_NV,PIAAC_AL_FNFAET12,SE,P1Y,2012,0.8,NA
AUT,T,T,Y25T64,AL_YC_V,PIAAC_AL_FNFAET12,SE,P1Y,2012,3.5,NA
AUT,T,T,Y25T64,AL_YC_NV,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.8,NA
AUT,T,T,Y25T64,AL_NYC_V,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.8,NA
AUT,T,T,Y25T64,AL_NYC_NV,PIAAC_AL_FNFAET12,SE,P1Y,2012,1.1,NA
AUT,T,T,Y25T64,AL_BAR1,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,1,NA
AUT,T,T,Y25T64,AL_BAR2,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,11,NA
AUT,T,T,Y25T64,AL_BAR3,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,2,NA
AUT,T,T,Y25T64,AL_BAR4,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,35,NA
AUT,T,T,Y25T64,AL_BAR5,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,14,NA
AUT,T,T,Y25T64,AL_BAR6,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,15,NA
AUT,T,T,Y25T64,AL_BAR7,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,7,NA
AUT,T,T,Y25T64,AL_BAR8,PIAAC_AL_BARRIERS,VALUE,P1Y,2012,13,NA
AUT,T,T,Y25T64,AL_BAR1,PIAAC_AL_BARRIERS,SE,P1Y,2012,0.5,NA
AUT,T,T,Y25T64,AL_BAR2,PIAAC_AL_BARRIERS,SE,P1Y,2012,1.3,NA
AUT,T,T,Y25T64,AL_BAR3,PIAAC_AL_BARRIERS,SE,P1Y,2012,0.5,NA
AUT,T,T,Y25T64,AL_BAR4,PIAAC_AL_BARRIERS,SE,P1Y,2012,1.6,NA
AUT,T,T,Y25T64,AL_BAR5,PIAAC_AL_BARRIERS,SE,P1Y,2012,1.3,NA
AUT,T,T,Y25T64,AL_BAR6,PIAAC_AL_BARRIERS,SE,P1Y,2012,1.2,NA
AUT,T,T,Y25T64,AL_BAR7,PIAAC_AL_BARRIERS,SE,P1Y,2012,0.9,NA
